feature,mutual_info
future_top1_similarity_14d,0.05433968258370825
future_max_similarity_14d,0.05363375277330085
future_incident_count_14d,0.05317757312835847
future_top3_mean_similarity_14d,0.05189941273975951
future_min_days_to_incident_14d,0.05127023737817904
future_mean_days_to_incident_14d,0.0508748407728139
future_mean_similarity_14d,0.05026349140847275
future_top3_mean_similarity_7d,0.03694763957187008
future_mean_similarity_7d,0.03659283538288294
future_max_similarity_7d,0.03609241140721886
future_mean_days_to_incident_7d,0.03556678299549465
future_top1_similarity_7d,0.035209140927641824
future_incident_count_7d,0.034874127590806214
incident_in_next_7d,0.03471245247014787
semantically_similar_incident_in_next_14d,0.03349160997596967
future_similar_incident_count_14d,0.03342382081121542
future_min_days_to_incident_7d,0.03322696704329453
future_similar_incident_count_7d,0.02194445567885861
future_severe_incident_count_14d,0.017322679148824682
severe_incident_in_next_14d,0.01675215690260423
future_severe_incident_count_7d,0.009942300429995887
future_mean_severity_14d,0.006808945143615741
future_mean_severity_7d,0.005258162949728695
future_max_severity_14d,0.0034970618977386847
future_max_severity_7d,0.003435754277063219
is_risk_signal,0.0032688283201948165
emb_213,0.003053312638624184
emb_15,0.0027235572918095086
emb_26,0.002632458281979
hazard_eliminated_flag,0.002442722185507451
past_risk_signal_count_14d,0.002310776603267617
month,0.0022300312258822785
past_risk_signal_count_7d,0.0021707377474458056
emb_133,0.002153061276905288
emb_92,0.0021525399159806335
emb_331,0.002122213979941945
emb_370,0.002082155793465823
emb_297,0.0020529340876627167
emb_345,0.0019338011910113861
emb_208,0.001895964576477227
emb_200,0.0018904115956936973
emb_347,0.0018350924829124704
emb_65,0.0018226985402572948
emb_198,0.0018156545568669413
emb_113,0.0018040186620174037
emb_357,0.0017823803044816344
emb_127,0.001772916576432304
emb_183,0.0017720637708844578
emb_37,0.0017686480837045826
emb_206,0.001749072207615665
emb_121,0.0016932373797750033
emb_244,0.001692642277722256
emb_266,0.0016570913062984305
emb_249,0.0016332960260689866
emb_188,0.0016092893855638168
past_korgau_count_7d,0.0015918013305060708
emb_45,0.0015856349238712042
emb_235,0.0015598335355102577
emb_71,0.0015596734930142242
emb_143,0.001557139937157781
emb_204,0.001527027944608239
emb_158,0.0015197328799932963
emb_248,0.001509112519857636
emb_17,0.0015019732478895875
emb_302,0.0014586049375836518
year,0.001442083049728815
emb_234,0.0014304601776372605
emb_277,0.0014291431396316057
day,0.0013591342019041441
emb_299,0.00134565980025525
emb_350,0.0013265730359819372
emb_382,0.0013215948101433783
emb_364,0.0012792138385042673
emb_0,0.0012761265808735045
emb_343,0.0012636842352730104
emb_149,0.0012492758613932287
emb_379,0.001234479676199829
emb_23,0.0011964573807149437
emb_197,0.0011919518752414593
emb_362,0.00117500669967463
past_korgau_count_1d,0.0011725722714284181
emb_311,0.0011632050870442612
emb_368,0.0011262327853508447
emb_352,0.001116884047999367
emb_131,0.0011075401303386467
emb_175,0.0010931751823070046
emb_22,0.0010926750666326868
emb_274,0.0010636753863441095
emb_292,0.0010549635490411102
emb_371,0.0010515976944661665
emb_146,0.0010395151214861453
