organization,observation_type,observation_category,rows,positives,positive_rate,min_time,max_time
"ТОО ""Лавандовый Рассвет""",good_practice,Трубопроводы / Подземные коммуникации,4,0,0.0,2025-09-10 00:04:00,2025-11-25 13:31:00
"ТОО ""Лавандовый Рассвет""",unsafe_condition,Проскальзывание / Спотыкание / Падение,4,0,0.0,2025-01-21 14:39:00,2026-01-25 14:00:00
"ТОО ""Лазурный Дельфиниум""",good_practice,Наряд-допуск / Оценка риска,4,0,0.0,2025-05-27 15:09:00,2026-01-08 20:06:00
"ТОО ""Лазурный Дельфиниум""",unsafe_action,Прочее,4,0,0.0,2025-07-14 16:00:00,2025-12-01 12:54:00
"ТОО ""Лазурный Дельфиниум""",unsafe_behavior,СИЗ / Средства по обеспечению безопасности,4,0,0.0,2025-04-10 20:57:00,2026-02-19 15:40:00
"ТОО ""Лепесток Удачи""",other,Целостность объекта / Оборудования,4,0,0.0,2024-03-10 14:10:00,2026-02-24 16:02:00
"ТОО ""Лепесток Удачи""",unsafe_action,Транспортировка,4,0,0.0,2025-05-26 18:25:00,2025-11-27 13:15:00
"ТОО ""Лепесток Удачи""",unsafe_condition,Машины и оборудование,4,0,0.0,2025-02-06 15:25:00,2026-01-10 10:28:00
"ТОО ""Лепесток Удачи""",unsafe_condition,Проскальзывание / Спотыкание / Падение,4,0,0.0,2025-03-01 19:10:00,2025-12-04 13:10:00
"ТОО ""Лепесток Удачи""",unsafe_condition,Рабочее место / Эргономика,4,0,0.0,2025-06-25 14:00:00,2025-11-21 20:56:00
"ТОО ""Лепесток Удачи""",unsafe_condition,Электрооборудование,4,0,0.0,2025-05-01 14:44:00,2026-01-20 14:30:00
"ТОО ""Лунная Орхидея""",good_practice,Наряд-допуск / Оценка риска,4,0,0.0,2025-05-25 23:11:00,2025-12-06 23:10:00
"ТОО ""Медовая Астра""",good_practice,Прочее,4,0,0.0,2025-07-27 04:12:00,2025-11-25 03:17:00
"ТОО ""Медовая Астра""",unsafe_condition,Проскальзывание / Спотыкание / Падение,4,0,0.0,2024-06-19 22:05:00,2026-01-29 17:00:00
"ТОО ""Небесная Камелия""",good_practice,Вождение,4,0,0.0,2025-05-26 18:10:00,2025-10-28 16:13:00
"ТОО ""Небесная Камелия""",unsafe_action,Монтажные и грузоподъемные работы,4,0,0.0,2025-04-29 19:58:00,2026-01-31 15:30:00
"ТОО ""Небесная Камелия""",unsafe_action,СИЗ / Средства по обеспечению безопасности,4,0,0.0,2025-07-18 15:20:00,2026-01-18 14:30:00
"ТОО ""Нежная Фиалка""",unsafe_behavior,СИЗ / Средства по обеспечению безопасности,4,0,0.0,2025-10-13 22:09:00,2026-02-23 14:35:00
"ТОО ""Нежная Фиалка""",unsafe_condition,Проскальзывание / Спотыкание / Падение,4,0,0.0,2024-03-15 16:43:00,2025-03-15 03:00:00
"ТОО ""Ночная Лаванда""",unsafe_condition,Рабочее место / Эргономика,4,0,0.0,2025-07-16 15:50:00,2026-02-03 21:26:00
"ТОО ""Огненная Георгина""",unsafe_condition,Машины и оборудование,4,0,0.0,2025-04-11 15:34:00,2025-08-14 13:35:00
"ТОО ""Огненная Георгина""",unsafe_condition,Поддержание чистоты и порядка,4,0,0.0,2025-04-10 14:00:00,2025-11-13 15:00:00
"ТОО ""Огненная Георгина""",unsafe_condition,Рабочее место / Эргономика,4,0,0.0,2025-06-04 18:40:00,2025-11-16 15:20:00
"ТОО ""Полевая Незабудка""",unsafe_behavior,Поддержание чистоты и порядка,4,0,0.0,2025-05-15 15:52:00,2025-11-21 13:38:00
"ТОО ""Полевая Незабудка""",unsafe_condition,Поддержание чистоты и порядка,4,0,0.0,2025-05-13 15:00:00,2025-11-23 13:30:00
"ТОО ""Полевой Клевер""",good_practice,Прочее,4,0,0.0,2025-07-27 04:14:00,2025-10-07 23:44:00
"ТОО ""Полевой Клевер""",other,Рабочее место / Эргономика,4,0,0.0,2025-06-23 13:56:00,2025-09-10 12:28:00
"ТОО ""Полевой Клевер""",unsafe_action,СИЗ / Средства по обеспечению безопасности,4,0,0.0,2025-08-12 21:31:00,2026-02-10 20:40:00
"ТОО ""Полевой Клевер""",unsafe_condition,Машины и оборудование,4,0,0.0,2025-01-06 14:49:00,2025-09-15 15:30:00
"ТОО ""Полевой Клевер""",unsafe_condition,Электрооборудование,4,0,0.0,2025-02-23 14:30:00,2025-08-04 01:35:00
"ТОО ""Пудровая Роза""",good_practice,Поддержание чистоты и порядка,4,0,0.0,2025-06-05 16:40:00,2026-01-20 13:00:00
"ТОО ""Пудровая Роза""",good_practice,Электрооборудование,4,0,0.0,2025-07-19 19:50:00,2026-02-22 20:20:00
"ТОО ""Пудровая Роза""",other,Выполнение требований инструкций,4,0,0.0,2025-07-22 20:52:00,2025-11-26 15:04:00
"ТОО ""Пудровая Роза""",unsafe_condition,Электрооборудование,4,0,0.0,2025-08-14 15:20:00,2025-11-28 15:00:00
"ТОО ""Пурпурный Ирис""",unsafe_condition,Проскальзывание / Спотыкание / Падение,4,0,0.0,2025-02-10 13:57:00,2025-12-09 12:00:00
"ТОО ""Пурпурный Ирис""",unsafe_condition,Электрооборудование,4,0,0.0,2025-04-17 01:30:00,2025-10-30 23:29:00
"ТОО ""Рассветная Лаванда""",unsafe_condition,Рабочее место / Эргономика,4,0,0.0,2024-11-12 22:42:00,2025-11-21 20:58:00
"ТОО ""Розовый Флокс""",unsafe_condition,Целостность объекта / Оборудования,4,0,0.0,2024-09-09 17:00:00,2026-02-10 14:20:00
"ТОО ""Рубиновый Мак""",good_practice,Вождение,4,0,0.0,2025-05-27 18:16:00,2025-11-26 13:53:00
"ТОО ""Рубиновый Мак""",unsafe_behavior,СИЗ / Средства по обеспечению безопасности,4,0,0.0,2025-05-20 18:30:00,2025-12-04 15:30:00
"ТОО ""Рубиновый Мак""",unsafe_condition,Проскальзывание / Спотыкание / Падение,4,0,0.0,2025-07-11 22:12:00,2026-01-21 15:25:00
"ТОО ""Сакура Плюс""",danger_factor,Электрооборудование,4,0,0.0,2025-05-27 15:23:00,2025-09-15 15:00:00
"ТОО ""Сакура Плюс""",unsafe_action,"СИЗ / Средства по обеспечению безопасности, Выполнение требований инструкций",4,0,0.0,2025-11-07 14:40:00,2026-02-23 13:50:00
