observation_type,observation_category,rows,positives,positive_rate
unsafe_action,СИЗ / Средства по обеспечению безопасности,337,2,0.005934718100890208
unsafe_condition,Рабочее место / Эргономика,184,1,0.005434782608695652
unsafe_condition,Целостность объекта / Оборудования,122,0,0.0
unsafe_condition,Поддержание чистоты и порядка,121,0,0.0
good_practice,Вождение,91,0,0.0
unsafe_action,Выполнение требований инструкций,89,0,0.0
unsafe_condition,СИЗ / Средства по обеспечению безопасности,85,0,0.0
unsafe_condition,Выполнение требований инструкций,81,0,0.0
good_practice,Целостность объекта / Оборудования,80,0,0.0
good_practice,Электрооборудование,80,0,0.0
unsafe_action,Транспортировка,80,0,0.0
good_practice,Охрана окружающей среды,77,0,0.0
danger_factor,Проскальзывание / Спотыкание / Падение,69,0,0.0
good_practice,Трубопроводы / Подземные коммуникации,64,0,0.0
good_practice,СИЗ / Средства по обеспечению безопасности,60,0,0.0
unsafe_action,Поддержание чистоты и порядка,60,0,0.0
other,Электрооборудование,58,0,0.0
unsafe_action,Работы на высоте / Строительные леса,57,0,0.0
unsafe_condition,Охрана окружающей среды,57,0,0.0
good_practice,Рабочее место / Эргономика,56,0,0.0
unsafe_condition,Взрыво- и пожароопасность,51,0,0.0
danger_factor,СИЗ / Средства по обеспечению безопасности,50,0,0.0
unsafe_behavior,Вождение,50,0,0.0
good_practice,Транспортировка,48,0,0.0
unsafe_action,Монтажные и грузоподъемные работы,47,0,0.0
other,Проскальзывание / Спотыкание / Падение,45,0,0.0
danger_factor,Машины и оборудование,42,0,0.0
other,СИЗ / Средства по обеспечению безопасности,40,0,0.0
unsafe_action,Сварка / Шлифовка / Отжиг,38,0,0.0
unsafe_condition,Прочее,37,0,0.0
unsafe_condition,Санитарно-бытовые помещения,35,0,0.0
danger_factor,Выполнение требований инструкций,34,0,0.0
other,Прочее,34,0,0.0
other,Санитарно-бытовые помещения,34,0,0.0
danger_factor,Монтажные и грузоподъемные работы,33,0,0.0
good_practice,Аварийное реагирование / Готовность к ЧС,33,0,0.0
good_practice,"Трубопроводы / Подземные коммуникации, Наряд-допуск / Оценка риска",33,0,0.0
