organization,rows,positives,positive_rate,min_time,max_time
"ТОО ""Цветочный Бриз""",155,0,0.0,2024-03-12 22:52:00,2026-02-25 21:15:00
"ТОО ""Цветущий Миндаль""",155,0,0.0,2024-03-12 14:44:00,2026-02-25 13:00:00
"ТОО ""Цветущий Олеандр""",155,0,0.0,2024-02-15 22:20:00,2026-02-26 15:30:00
"ТОО ""Шёлковый Пион""",155,0,0.0,2024-06-19 22:09:00,2026-02-25 15:45:00
"ТОО ""Южная Магнолия""",155,0,0.0,2024-01-06 20:00:00,2026-02-23 13:50:00
"ТОО ""Янтарная Хризантема""",155,0,0.0,2024-01-17 23:12:00,2026-02-25 14:37:00
"ТОО ""Японская Сакура""",155,0,0.0,2024-02-05 19:00:00,2026-02-19 21:00:00
"ТОО ""Ясный Василёк""",155,0,0.0,2024-04-11 20:15:00,2026-02-24 21:47:00
"ТОО ""Бархатный Тюльпан""",154,0,0.0,2024-04-18 21:39:00,2026-02-23 15:40:00
"ТОО ""Рассветная Лаванда""",154,0,0.0,2024-03-11 21:34:00,2026-02-26 15:15:00
"ТОО ""Флора Капитал""",154,0,0.0,2024-01-05 12:00:00,2026-02-23 15:40:00
