Область,incident_count,avg_risk_score,max_risk_score,median_risk_score
Мангистауская область,25,2.2607359307359305,2.5,2.090909090909091
Атырауская область,4,2.0643939393939394,2.5,2.3333333333333335
Акмолинская область,0,,,
Кызылординская область,0,,,
